Datetime,Open,High,Low,Close,Volume,Minute Returns,Rolling 5 Minute Returns,20 Minute Moving Average,50 Minute Moving Average
2025-11-28 14:30:00+00:00,277.315,277.44,276.91,277.44,8283,,,,
2025-11-28 14:31:00+00:00,277.555,278.06,277.555,278.0,4514,0.0020184544405996707,,,
2025-11-28 14:32:00+00:00,278.01,278.205,277.915,277.915,3064,-0.0003057553956833381,,,
2025-11-28 14:33:00+00:00,277.83,277.83,277.23,277.23,2040,-0.0024647823974955907,,,
2025-11-28 14:34:00+00:00,277.14,277.175,277.075,277.17,2364,-0.00021642679363709227,,,
2025-11-28 14:35:00+00:00,277.16,277.505,277.08,277.29,2924,0.0004329472886677177,-0.0005406574394463126,,
2025-11-28 14:36:00+00:00,277.07,277.335,277.07,277.32,1607,0.00010818998160755378,-0.002446043165467593,,
2025-11-28 14:37:00+00:00,277.38,277.38,277.22,277.29,1133,-0.00010817827780174039,-0.00224888904880971,,
2025-11-28 14:38:00+00:00,277.335,277.38,277.24,277.24,1338,-0.0001803166360129227,3.607113227288572e-05,,
2025-11-28 14:39:00+00:00,277.09,277.09,276.92,277.04,3790,-0.0007213966238637237,-0.00046902622938982397,,
2025-11-28 14:40:00+00:00,277.035,277.035,276.53,276.575,3953,-0.0016784579844066894,-0.0025785278949838064,,
2025-11-28 14:41:00+00:00,276.58,276.58,276.12,276.19,3287,-0.001392027478983926,-0.004074715130535145,,
2025-11-28 14:42:00+00:00,276.21,276.4,276.14,276.22,5540,0.00010862087693275235,-0.003858776010674636,,
2025-11-28 14:43:00+00:00,276.34,276.43,276.22,276.22,2896,0.0,-0.003679122781705124,,
2025-11-28 14:44:00+00:00,276.15,276.505,276.125,276.49,5290,0.0009774817174714734,-0.001985272884781897,,
2025-11-28 14:45:00+00:00,276.47,276.49,276.255,276.32,2682,-0.0006148504466708671,-0.0009219922263400404,,
2025-11-28 14:46:00+00:00,276.43,276.43,276.29,276.35,2062,0.00010856977417494917,0.0005793113436400876,,
2025-11-28 14:47:00+00:00,276.35,276.41,276.295,276.41,3267,0.00021711597611728806,0.0006878575048872015,,
2025-11-28 14:48:00+00:00,276.42,276.47,276.4,276.47,1573,0.00021706884700267715,0.0009050756643254054,,
2025-11-28 14:49:00+00:00,276.53,276.86,276.53,276.86,2858,0.0014106412992367368,0.001338203913342273,276.902,
2025-11-28 14:50:00+00:00,276.86,276.935,276.81,276.9,3440,0.0001444773531746879,0.002099015634047241,276.87500000000006,
2025-11-28 14:51:00+00:00,276.93,277.055,276.85,276.945,3048,0.00016251354279539498,0.0021530667631626255,276.82225000000005,
2025-11-28 14:52:00+00:00,276.96,277.025,276.35,276.39,3486,-0.002004008016032066,-7.235628233426272e-05,276.74600000000004,
2025-11-28 14:53:00+00:00,276.46,276.505,276.46,276.5,1313,0.00039798834979554165,0.00010851086917185171,276.70950000000005,
2025-11-28 14:54:00+00:00,276.495,276.5,276.325,276.36,1744,-0.0005063291139240089,-0.0018059669146861523,276.669,
2025-11-28 14:55:00+00:00,276.37,276.52,276.31,276.345,2939,-5.427702996085859e-05,-0.0020043336944742807,276.62175,
2025-11-28 14:56:00+00:00,276.37,276.375,276.19,276.19,2825,-0.0005608930865405037,-0.0027261730668545203,276.56525,
2025-11-28 14:57:00+00:00,276.16,276.205,276.025,276.205,3678,5.4310438466265154e-05,-0.0006693440428381381,276.511,
2025-11-28 14:58:00+00:00,276.225,276.73,276.225,276.73,1995,0.001900762115095711,0.0008318264014466337,276.4855,
